-t,f,delta f
0.0,0.5081826080700461,0.05391800087514391
0.07243,0.4841499035896999,0.030795046909773395
0.1346,0.4097225973819328,0.02274540192259221
0.15917,0.4165350127558783,0.024961770967464787
0.22949,0.3709390600347713,0.017996071390368355
0.32197,0.3476693864064415,0.022310914897491246
0.3698,0.33183769033447463,0.023261729697142592
0.39046,0.3260832676307082,0.021697159469549275
0.40113,0.3151638961216095,0.01737409692358269
0.43566,0.3133861713921553,0.023067456788860574
0.46266,0.2865260422294812,0.017948255692959825
0.47997,0.2909525014963597,0.01672660225626693
0.55957,0.25213226188878646,0.034972489398946836
0.6224,0.25392713087089513,0.017800427158572437
0.6557,0.23917138299848284,0.017258607328464858
0.69324,0.2333450236885795,0.017934754055257154
0.71799,0.25561967623003296,0.013870857582447937
0.77357,0.21025221546414696,0.01567495986168341
0.80739,0.2280628026606914,0.014952104561334004
0.87219,0.21912467324019008,0.013564760697711124
0.9629,0.1906003259673848,0.017157516776701874
1.03655,0.17418019851207847,0.012531954501380123
1.08181,0.1647201762690405,0.016922536376259727
1.11762,0.16957506469894096,0.010084334895166693
1.20675,0.18615549620395772,0.05390054596136241
1.29818,0.13782790868653041,0.015997707484365385
1.36023,0.14408942901632216,0.008308353523341104
1.43519,0.13384966111087138,0.010577953970749145
1.51747,0.13338543760681923,0.013831636511534831
1.60693,0.10905184592877186,0.011525335724896831
1.67945,0.13001021666464957,0.010396381950850325
1.75762,0.1145699199241373,0.015857713879101624
1.92117,0.09030598393339441,0.01744963618591277
1.99725,0.10185127358203896,0.017141982035950826
